"user_id","dish","dish_type","category","ingredient_1","ingredient_2","ingredient_3","rating"
"U1077","Prawns Biryani","Lunch and Dinner","Non-Vegeterian","rice"," prawns",NULL,5
"U1077","Chilli Potatoes","Lunch and Dinner","Vegetarian","potato"," sauce"," cornflour",1
"U1077","Shahi Tukda","Lunch and Dinner","Vegetarian","sweet"," milk"," bread",1
"U1077","Paneer Multani Tikka","Lunch and Dinner","Vegetarian","paneer","cheese","mushroom",1
"U1068","Chilli Fish","Lunch and Dinner","Non-Vegeterian","fish"," corn flour"," sauce",3
"U1068","Kadaai Paneer","Lunch and Dinner","Vegetarian","paneer"," vegetables"," spices",1
"U1068","Bendekaayi Gojju (Ladys Finger Gravy)","Lunch and Dinner","Vegetarian","lady finger"," coconut"," pulses",1
"U1068","Veg biryani","Lunch and Dinner","Vegetarian","rice"," vegetables",NULL,5
"U1068","Veg Cutlet","Lunch and Dinner","Vegetarian","vegetables"," bread",NULL,2
"U1067","Veg Platter","Lunch and Dinner","Vegetarian","vegetables"," yogurt"," lemon",1
"U1067","Mushroom Malai Tikka","Lunch and Dinner","Vegetarian","mushroom"," cream"," spices",2
"U1067","Chicken Tikka Dry","Lunch and Dinner","Non-Vegeterian","chicken"," yogurt"," spices",5
"U1067","Chicken Seekh Kabab","Lunch and Dinner","Non-Vegeterian","chicken"," yogurt"," spices",5
"U1067","Corn Cheese Pizza","Lunch and Dinner","Vegetarian","corn"," pizza"," cheese",5
"U1067","Chicken Pulao","Lunch and Dinner","Non-Vegeterian","rice"," chicken",NULL,1
"U1103","Gobi Manchurian","Lunch and Dinner","Vegetarian","corn flour"," vegetables"," sauce",4
"U1103","Chicken Madagascar","Lunch and Dinner","Non-Vegeterian","chicken"," coconut milk"," spices",3
"U1103","Chilli Mushroom","Lunch and Dinner","Vegetarian","mushroom"," corn flour"," sauce",2
"U1103","Veg Manchurian","Lunch and Dinner","Vegetarian","vegetables"," corn flour"," sauce",5
"U1103","Chicken Achari","Lunch and Dinner","Non-Vegeterian","chicken"," yogurt"," spices",1
"U1103","Chilli Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," corn flour"," sauce",4
"U1103","Chicken Fry","Lunch and Dinner","Non-Vegeterian","chicken"," egg"," flour",3
"U1103","Arachu Vitta Sambar","Lunch and Dinner","Vegetarian","vegetables"," dal"," sambar powder ",3
"U1107","Veg Manchurian","Lunch and Dinner","Vegetarian","vegetables"," corn flour"," sauce",1
"U1107","Prawns Manchurian","Lunch and Dinner","Non-Vegeterian","prawns"," corn flour"," sauce",2
"U1107","Carrot Halwa","Lunch and Dinner","Vegetarian","sweet"," carrot"," ghee",2
"U1044","Lacha Paratha","Lunch and Dinner","Vegetarian","flour"," ghee",NULL,5
"U1044","Ginger Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," spices"," pepper",3
"U1070","Avial with Kerala Red Rice","Lunch and Dinner","Vegetarian","rice"," vegetables",NULL,4
"U1070","Plain Naan","Lunch and Dinner","Vegetarian","flour",NULL,NULL,3
"U1070","Veg biryani","Lunch and Dinner","Vegetarian","rice"," vegetables",NULL,1
"U1031","Chilli Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," corn flour"," sauce",2
"U1031","Golden Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," corn flour"," sauce",5
"U1031","Chilli Potatoes","Lunch and Dinner","Vegetarian","potato"," sauce"," cornflour",1
"U1082","Chicken Achari","Lunch and Dinner","Non-Vegeterian","chicken"," yogurt"," spices",2
"U1023","Chocolate Brownie","Lunch and Dinner","Vegetarian","sweet"," chocolate"," milk",2
"U1023","Baby Corn","Lunch and Dinner","Vegetarian","corn"," corn flour"," sauce",3
"U1082","Mushroom Masala","Lunch and Dinner","Vegetarian","mushroom"," spices",NULL,1
"U1082","Chicken Pepperoni Piza","Lunch and Dinner","Non-Vegeterian","chicken"," pizza"," cheese",4
"U1082","Farm Fresh Pizza","Lunch and Dinner","Vegetarian","pizza"," vegetables"," cheese",1
"U1082","Chocolate Brownie","Lunch and Dinner","Vegetarian","sweet"," chocolate"," milk",4
"U1082","Paneer Tikka Masala","Lunch and Dinner","Vegetarian","paneer"," spices"," lemon",2
"U1082","Paneer Achari","Lunch and Dinner","Vegetarian","paneer","yogurt","vegetables",3
"U1060","Jeera Rice","Lunch and Dinner","Vegetarian","rice",NULL,NULL,3
"U1060","Mutton Dum Biryani","Lunch and Dinner","Non-Vegeterian","rice"," mutton",NULL,5
"U1060","Fish Biryani","Lunch and Dinner","Non-Vegeterian","fish"," rice",NULL,1
"U1060","Lemon Chicken","Lunch and Dinner","Non-Vegeterian","chicken"," lemon"," spices",4
"U1015","Chocolate Milkshake","Lunch and Dinner","Vegetarian","milk"," chocolate"," sweet",5
"U1123","Plain Roti","Lunch and Dinner","Vegetarian","flour"," water",NULL,4
"U1123","Chilli Fish","Lunch and Dinner","Non-Vegeterian","fish"," corn flour"," sauce",4
"U1123","Loose Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," corn flour"," spices",4
"U1123","Chicken Fry","Lunch and Dinner","Non-Vegeterian","chicken"," egg"," flour",4
"U1123","Cashew Chicken","Lunch and Dinner","Non-Vegeterian","chicken"," cashew"," sauce",2
"U1123","Golden Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," corn flour"," sauce",2
"U1123","Avial with Kerala Red Rice","Lunch and Dinner","Vegetarian","rice"," vegetables",NULL,1
"U1123","Veg Dumplings","Lunch and Dinner","Vegetarian","flour"," vegetables",NULL,1
"U1021","Moong daal Halwa","Lunch and Dinner","Vegetarian","sweet"," dal"," ghee",3
"U1026","Baby Corn","Lunch and Dinner","Vegetarian","corn"," corn flour"," sauce",5
"U1021","Moong daal Halwa","Lunch and Dinner","Vegetarian","sweet"," dal"," ghee",4
"U1021","Chicken Dum Biryani","Lunch and Dinner","Non-Vegeterian","rice"," chicken",NULL,5
"U1044","Paneer Achari","Lunch and Dinner","Vegetarian","paneer","yogurt","vegetables",4
"U1083","Ice-cream","Lunch and Dinner","Vegetarian","sweet"," milk",NULL,1
"U1083","Shahi Tukda","Lunch and Dinner","Vegetarian","sweet"," milk"," bread",1
"U1083","Ice-cream","Lunch and Dinner","Vegetarian","sweet"," milk",NULL,5
"U1108","Mixed Non-Veg Fried Rice","Lunch and Dinner","Non-Vegeterian","rice"," vegetables"," egg",4
"U1108","Chicken Drum Sticks","Lunch and Dinner","Non-Vegeterian","chicken"," butter"," flour",2
"U1108","Nihari Gosht","Lunch and Dinner","Non-Vegeterian","mutton"," spices"," yogurt",2
"U1108","Pepper Garlic Chicken","Lunch and Dinner","Non-Vegeterian","chicken"," spices"," vegetables ",1
"U1108","Chicken Pepperoni Piza","Lunch and Dinner","Non-Vegeterian","chicken"," pizza"," cheese",2
"U1108","Fruit cream","Lunch and Dinner","Vegetarian","sweet"," fruits"," cream",1
"U1108","Mutton Pepper Fry","Lunch and Dinner","Non-Vegeterian","mutton"," spices"," lemon",2
"U1108","Matar Pulao","Lunch and Dinner","Vegetarian","rice",NULL,NULL,2
"U1108","Matar Pulao","Lunch and Dinner","Vegetarian","rice",NULL,NULL,1
"U1108","Chicken Chettinad","Lunch and Dinner","Non-Vegeterian","chicken"," spices",NULL,5
"U1012","Chicken Korma","Lunch and Dinner","Non-Vegeterian","chicken"," coconut milk"," spices",5
"U1012","Lemon Chicken","Lunch and Dinner","Non-Vegeterian","chicken"," lemon"," spices",2
"U1012","Vanilla Milkshake","Lunch and Dinner","Vegetarian","milk"," vanilla"," sweet",1
"U1093","Tandoori Fish","Lunch and Dinner","Non-Vegeterian","fish"," yogurt"," spices",1
"U1093","Pepper Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," spices"," pepper",3
"U1093","Golden Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," corn flour"," sauce",1
"U1093","Paneer 65","Lunch and Dinner","Vegetarian","paneer"," rice flour"," spices",1
"U1093","Fish Manchurian","Lunch and Dinner","Non-Vegeterian","fish"," corn flour"," sauce",2
"U1030","Chicken Tandoori","Lunch and Dinner","Non-Vegeterian","chicken"," spices"," lemon",3
"U1093","Chilli Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," corn flour"," sauce",4
"U1030","Tandoori Fish","Lunch and Dinner","Non-Vegeterian","fish"," yogurt"," spices",2
"U1012","Paneer Tikka","Lunch and Dinner","Vegetarian","paneer","yogurt","vegetables",3
"U1012","Chicken Madagascar","Lunch and Dinner","Non-Vegeterian","chicken"," coconut milk"," spices",2
"U1030","Plain Dosa","Lunch and Dinner","Vegetarian","black gram"," rice",NULL,4
"U1093","Mutton Cutlet","Lunch and Dinner","Non-Vegeterian","mutton"," spices"," potato",5
"U1030","Chicken Tikka Dry","Lunch and Dinner","Non-Vegeterian","chicken"," yogurt"," spices",4
"U1093","Paneer Achari","Lunch and Dinner","Vegetarian","paneer","yogurt","vegetables",3
"U1030","Mixed Non-Veg Fried Rice","Lunch and Dinner","Non-Vegeterian","rice"," vegetables"," egg",3
"U1030","Paneer Amritsari Tikka","Lunch and Dinner","Vegetarian","paneer"," lemon"," spices",2
"U1030","Mushroom Tikka","Lunch and Dinner","Vegetarian","mushroom"," yogurt"," spices",4
"U1030","Veg biryani","Lunch and Dinner","Vegetarian","rice"," vegetables",NULL,2
"U1066","Chicken Dum Biryani","Lunch and Dinner","Non-Vegeterian","rice"," chicken",NULL,5
"U1066","Mutton Fry","Lunch and Dinner","Non-Vegeterian","mutton"," spices",NULL,2
"U1127","Veg Platter","Lunch and Dinner","Vegetarian","vegetables"," yogurt"," lemon",5
"U1127","Chicken Chettinad","Lunch and Dinner","Non-Vegeterian","chicken"," spices",NULL,3
"U1127","Mushroom Malai Tikka","Lunch and Dinner","Vegetarian","mushroom"," cream"," spices",5
"U1127","Golden Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," corn flour"," sauce",3
"U1017","Lemon Chicken","Lunch and Dinner","Non-Vegeterian","chicken"," lemon"," spices",4
"U1066","Chilli Potatoes","Lunch and Dinner","Vegetarian","potato"," sauce"," cornflour",3
"U1017","Chicken Pakora","Lunch and Dinner","Non-Vegeterian","chicken"," rice flour"," spices",4
"U1017","Prawns Manchurian","Lunch and Dinner","Non-Vegeterian","prawns"," corn flour"," sauce",1
"U1066","Aloo Gobi Masala","Lunch and Dinner","Vegetarian","vegetables"," spices"," potato",5
"U1100","Lassi","Lunch and Dinner","Vegetarian","milk"," sweet"," curd",5
"U1100","Fresh Lime Soda","Lunch and Dinner","Vegetarian","lemon"," soda",NULL,1
"U1066","Dal Tadka","Lunch and Dinner","Vegetarian","pulses",NULL,NULL,1
"U1100","Veg Dumplings","Lunch and Dinner","Vegetarian","flour"," vegetables",NULL,3
"U1100","Butter Roti","Lunch and Dinner","Vegetarian","flour"," butter",NULL,5
"U1100","South Indian Chicken masala","Lunch and Dinner","Non-Vegeterian","chicken"," coconut mik "," spices",1
"U1100","Barbeque Chicken with Breast","Lunch and Dinner","Non-Vegeterian","chicken"," spices",NULL,1
"U1133","Nihari Gosht","Lunch and Dinner","Non-Vegeterian","mutton"," spices"," yogurt",3
"U1133","Apollo Fish","Lunch and Dinner","Non-Vegeterian","fish"," corn flour"," sauce",4
"U1133","Butter Garlic Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," corn flour"," sauce",2
"U1133","Carrot Halwa","Lunch and Dinner","Vegetarian","sweet"," carrot"," ghee",3
"U1133","Prawns Manchurian","Lunch and Dinner","Non-Vegeterian","prawns"," corn flour"," sauce",1
"U1133","Chilli Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," corn flour"," sauce",2
"U1133","Tandoori Fish","Lunch and Dinner","Non-Vegeterian","fish"," yogurt"," spices",1
"U1133","Malvani Chicken Curry","Lunch and Dinner","Non-Vegeterian","chicken"," coconut"," spices",4
"U1133","Shahi Tukda","Lunch and Dinner","Vegetarian","sweet"," milk"," bread",3
"U1118","Mughlai Chicken Handi","Lunch and Dinner","Non-Vegeterian","chicken"," spices"," ghee",2
"U1072","Plain Dosa","Lunch and Dinner","Vegetarian","black gram"," rice",NULL,5
"U1072","Fresh Lime Soda","Lunch and Dinner","Vegetarian","lemon"," soda",NULL,3
"U1072","Veg Dum Biryani","Lunch and Dinner","Vegetarian","rice"," vegetables",NULL,5
"U1026","Fruit cream","Lunch and Dinner","Vegetarian","sweet"," fruits"," cream",5
"U1026","Chocolate Pastry","Lunch and Dinner","Vegetarian","sweet"," chocolate"," milk",2
"U1026","Ginger Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," spices"," pepper",4
"U1026","Chicken Fry","Lunch and Dinner","Non-Vegeterian","chicken"," egg"," flour",5
"U1023","Jeera Rice","Lunch and Dinner","Vegetarian","rice",NULL,NULL,2
"U1023","Seekh Kabab","Lunch and Dinner","Non-Vegeterian","mutton"," yogurt"," spices",2
"U1080","Plain Naan","Lunch and Dinner","Vegetarian","flour",NULL,NULL,5
"U1080","Chicken Fried Rice","Lunch and Dinner","Non-Vegeterian","rice"," chicken",NULL,4
"U1080","Baby Corn","Lunch and Dinner","Vegetarian","corn"," corn flour"," sauce",3
"U1080","Avial with Kerala Red Rice","Lunch and Dinner","Vegetarian","rice"," vegetables",NULL,3
"U1063","Margarita Pizza","Lunch and Dinner","Vegetarian","pizza"," cheese",NULL,3
"U1063","Hyderabadi Keema","Lunch and Dinner","Non-Vegeterian","mutton"," spices",NULL,2
"U1063","Chicken Pakora","Lunch and Dinner","Non-Vegeterian","chicken"," rice flour"," spices",5
"U1063","Margarita Pizza","Lunch and Dinner","Vegetarian","pizza"," cheese",NULL,3
"U1063","Fresh Lime Soda","Lunch and Dinner","Vegetarian","lemon"," soda",NULL,4
"U1080","Hara Bara Kabab","Lunch and Dinner","Vegetarian","vegetables"," flour"," bread",1
"U1080","Pepper Garlic Chicken","Lunch and Dinner","Non-Vegeterian","chicken"," spices"," vegetables ",2
"U1082","Prawns Fry","Lunch and Dinner","Non-Vegeterian","fish"," prawns"," yogurt",5
"U1082","Chicken Fried Rice","Lunch and Dinner","Non-Vegeterian","rice"," chicken",NULL,1
"U1074","Apollo Fish","Lunch and Dinner","Non-Vegeterian","fish"," corn flour"," sauce",2
"U1074","Avial with Kerala Red Rice","Lunch and Dinner","Vegetarian","rice"," vegetables",NULL,3
"U1074","Arachu Vitta Sambar","Lunch and Dinner","Vegetarian","vegetables"," dal"," sambar powder ",1
"U1117","Mango Kuzhambu","Lunch and Dinner","Vegetarian","mango",NULL,NULL,2
"U1117","Fish Manchurian","Lunch and Dinner","Non-Vegeterian","fish"," corn flour"," sauce",4
"U1117","Plain Roti","Lunch and Dinner","Vegetarian","flour"," water",NULL,2
"U1117","Fresh Lime Soda","Lunch and Dinner","Vegetarian","lemon"," soda",NULL,1
"U1117","Pepper Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," spices"," pepper",1
"U1117","Pepper Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," spices"," pepper",3
"U1118","Murgh Tangdi Kabab","Lunch and Dinner","Non-Vegeterian","chicken"," yogurt"," lemon",4
"U1118","Paneer Butter Masala","Lunch and Dinner","Vegetarian","paneer"," spices"," cream",4
"U1118","Veg Dumplings","Lunch and Dinner","Vegetarian","flour"," vegetables",NULL,1
"U1118","Chicken Pizza","Lunch and Dinner","Non-Vegeterian","chicken"," pizza"," cheese",3
"U1118","Chicken Madagascar","Lunch and Dinner","Non-Vegeterian","chicken"," coconut milk"," spices",5
"U1118","Vanilla Milkshake","Lunch and Dinner","Vegetarian","milk"," vanilla"," sweet",1
"U1020","Tandoori Fish","Lunch and Dinner","Non-Vegeterian","fish"," yogurt"," spices",4
"U1020","Barbeque Chicken with Breast","Lunch and Dinner","Non-Vegeterian","chicken"," spices",NULL,3
"U1020","Chicken Fried Rice","Lunch and Dinner","Non-Vegeterian","rice"," chicken",NULL,5
"U1020","Mutton 65 Pizza","Lunch and Dinner","Non-Vegeterian","mutton"," pizza"," cheese",4
"U1051","Ice-cream","Lunch and Dinner","Vegetarian","sweet"," milk",NULL,5
"U1051","Mutton Kofte","Lunch and Dinner","Non-Vegeterian","mutton"," yogurt"," spices",2
"U1051","Fish Fry","Lunch and Dinner","Non-Vegeterian","fish"," spices"," lemon",2
"U1055","Jeera Rice","Lunch and Dinner","Vegetarian","rice",NULL,NULL,1
"U1055","Paneer Butter Masala","Lunch and Dinner","Vegetarian","paneer"," spices"," cream",5
"U1055","Veg biryani","Lunch and Dinner","Vegetarian","rice"," vegetables",NULL,4
"U1055","Chilli Mushroom","Lunch and Dinner","Vegetarian","mushroom"," corn flour"," sauce",3
"U1055","Mutton Cutlet","Lunch and Dinner","Non-Vegeterian","mutton"," spices"," potato",5
"U1083","Prawns Manchurian","Lunch and Dinner","Non-Vegeterian","prawns"," corn flour"," sauce",1
"U1083","Paneer Amritsari Tikka","Lunch and Dinner","Vegetarian","paneer"," lemon"," spices",4
"U1055","Butter Garlic Prawns","Lunch and Dinner","Non-Vegeterian","prawns"," corn flour"," sauce",1
"U1083","Murgh Tangdi Kabab","Lunch and Dinner","Non-Vegeterian","chicken"," yogurt"," lemon",4
"U1083","Paneer Achari","Lunch and Dinner","Vegetarian","paneer","yogurt","vegetables",5
"U1083","Mutton Pepper Fry","Lunch and Dinner","Non-Vegeterian","mutton"," spices"," lemon",2
"U1083","Gulab Jamun","Lunch and Dinner","Vegetarian","sweet"," milk"," ghee",5
"U1055","Mushroom Malai Tikka","Lunch and Dinner","Vegetarian","mushroom"," cream"," spices",3
"U1055","Mutton Biryani","Lunch and Dinner","Non-Vegeterian","rice"," mutton",NULL,1
"U1055","Paneer Pulao","Lunch and Dinner","Vegetarian","rice"," paneer",NULL,4
"U1055","Murgh Lasooni Kabab","Lunch and Dinner","Non-Vegeterian","chicken"," cream"," spices",5
"U1053","Chicken Tikka Dry","Lunch and Dinner","Non-Vegeterian","chicken"," yogurt"," spices",4
"U1053","Corn Cheese Pizza","Lunch and Dinner","Vegetarian","corn"," pizza"," cheese",1
"U1053","Ice-cream","Lunch and Dinner","Vegetarian","sweet"," milk",NULL,3
"U1053","Bharwa Aloo","Lunch and Dinner","Vegetarian","potato"," cheese"," spices ",1
"U1035","Chicken Manchurian","Lunch and Dinner","Non-Vegeterian","chicken"," sauce"," corn flour",4
"U1035","Chicken Dum Biryani","Lunch and Dinner","Non-Vegeterian","rice"," chicken",NULL,1
"U1053","Veg Pulao","Lunch and Dinner","Vegetarian","rice"," vegetables",NULL,1
"U1053","Veg Pakora","Lunch and Dinner","Vegetarian","vegetables"," flour ",NULL,2
"U1053","Farm Fresh Pizza","Lunch and Dinner","Vegetarian","pizza"," vegetables"," cheese",4
"U1035","Ice Tea","Lunch and Dinner","Vegetarian","tea"," sweet"," lemon",2
"U1053","Mango Kuzhambu","Lunch and Dinner","Vegetarian","mango",NULL,NULL,2
"U1053","Dal Tadka","Lunch and Dinner","Vegetarian","pulses",NULL,NULL,2
"U1053","Chicken Madagascar","Lunch and Dinner","Non-Vegeterian","chicken"," coconut milk"," spices",5
"U1053","Paneer Achari","Lunch and Dinner","Vegetarian","paneer","yogurt","vegetables",1
"U1053","Shahi Tukda","Lunch and Dinner","Vegetarian","sweet"," milk"," bread",5
"U1053","Veg Pulao","Lunch and Dinner","Vegetarian","rice"," vegetables",NULL,4
"U1064","Apollo Fish","Lunch and Dinner","Non-Vegeterian","fish"," corn flour"," sauce",2
"U1081","Chicken Pizza","Lunch and Dinner","Non-Vegeterian","chicken"," pizza"," cheese",1
"U1064","Chicken Chettinad","Lunch and Dinner","Non-Vegeterian","chicken"," spices",NULL,1
"U1081","Pepper Mutton","Lunch and Dinner","Non-Vegeterian","mutton"," spices"," lemon",1
"U1081","Mutton Dum Biryani","Lunch and Dinner","Non-Vegeterian","rice"," mutton",NULL,1
"U1064","Chicken Manchurian","Lunch and Dinner","Non-Vegeterian","chicken"," sauce"," corn flour",3
"U1081","Carrot Halwa","Lunch and Dinner","Vegetarian","sweet"," carrot"," ghee",4
"U1064","Cashew Chicken","Lunch and Dinner","Non-Vegeterian","chicken"," cashew"," sauce",3
"U1064","Paneer Butter Masala","Lunch and Dinner","Vegetarian","paneer"," spices"," cream",5
"U1081","Murgh Lasooni Kabab","Lunch and Dinner","Non-Vegeterian","chicken"," cream"," spices",1
"U1081","Chilli Potatoes","Lunch and Dinner","Vegetarian","potato"," sauce"," cornflour",2
"U1081","Chicken RR","Lunch and Dinner","Non-Vegeterian","chicken"," pasta"," sauce",2
"U1081","Chicken Pepperoni Piza","Lunch and Dinner","Non-Vegeterian","chicken"," pizza"," cheese",2
"U1081","Veg Dum Biryani","Lunch and Dinner","Vegetarian","rice"," vegetables",NULL,3
"U1081","Lemon Rice","Lunch and Dinner","Vegetarian","rice"," lemon",NULL,3
"U1081","Margarita Pizza","Lunch and Dinner","Vegetarian","pizza"," cheese",NULL,5
"U1001","Farm Fresh Pizza","Lunch and Dinner","Vegetarian","pizza"," vegetables"," cheese",4
