Dish_ID,Dish,Type,Category,Ingredient_1,Ingredient_2,Ingredient_3
101,Idly,Breakfast,Vegetarian,black gram , rice, water
102,Sambar Idly,Breakfast,Vegetarian,vegetables, dal, sambar powder 
103,Vada,Breakfast,Vegetarian,dal, water,
104,Dosa,Breakfast,Vegetarian,black gram, rice,
105,Mysore Bonda,Breakfast,Vegetarian,rice, all purpose flour, baking soda
106,Pesarattu-Upma,Breakfast,Vegetarian,moong beans, semolina,
107,Only Upma,Breakfast,Vegetarian,semolina,,
108,Only Pesarattu,Breakfast,Vegetarian,moong beans,,
109,Oothappam,Breakfast,Vegetarian,black gram, rice,
110,Pongal,Breakfast,Vegetarian,rice, moong beans,
111,Appam,Breakfast,Vegetarian,rice, coconut milk, sugar
112,Idiyappam,Breakfast,Vegetarian,rice, water, coconut
113,Parotta,Breakfast,Vegetarian,flour, semolina, ghee
114,Chole Bhature,Breakfast,Vegetarian,chickpeas, flour, yoghurt
115,Paratha,Breakfast,Vegetarian,flour, semolina, ghee
116,Methi Thepla,Breakfast,Vegetarian,flour, chickpea. Ghee,
117,Poori Bhaji,Breakfast,Vegetarian,flour, potato, ghee
118,Poha,Breakfast,Vegetarian,flattened rice,vegetables,
119,Sandwich,Breakfast,Vegetarian,bread,vegetables,
120,Bread Toast,Breakfast,Vegetarian,bread,butter,
121,Bread Omlette,Breakfast,Non-Vegeterian,bread, egg,
122,Vegetable Maggi,Breakfast,Vegetarian,noodles,vegetables,
123,Non-Veg Maggi,Breakfast,Non-Vegeterian,noodles, egg,chicken
124,Veg Cutlet,Lunch and Dinner,Vegetarian,vegetables, bread,
125,Veg Dumplings,Lunch and Dinner,Vegetarian,flour, vegetables,
126,Veg Pakora,Lunch and Dinner,Vegetarian,vegetables, flour ,
127,Veg lollipop,Lunch and Dinner,Vegetarian,vegetables, corn flour, spices
128,Hara Bara Kabab,Lunch and Dinner,Vegetarian,vegetables, flour, bread
129,Seekh Kabab,Lunch and Dinner,Non-Vegeterian,mutton, yogurt, spices
130,Bharwa Aloo,Lunch and Dinner,Vegetarian,potato, cheese, spices 
131,Paneer Tikka,Lunch and Dinner,Vegetarian,paneer,yogurt,vegetables
132,Paneer Achari,Lunch and Dinner,Vegetarian,paneer,yogurt,vegetables
133,Paneer Multani Tikka,Lunch and Dinner,Vegetarian,paneer,cheese,mushroom
134,Haryali Paneer Tikka,Lunch and Dinner,Vegetarian,paneer,yogurt, spices
135,Paneer Amritsari Tikka,Lunch and Dinner,Vegetarian,paneer, lemon, spices
136,Mushroom Tikka,Lunch and Dinner,Vegetarian,mushroom, yogurt, spices
137,Mushroom Malai Tikka,Lunch and Dinner,Vegetarian,mushroom, cream, spices
138,Veg Platter,Lunch and Dinner,Vegetarian,vegetables, yogurt, lemon
139,Chilli Potatoes,Lunch and Dinner,Vegetarian,potato, sauce, cornflour
140,Veg Spring Rolls,Lunch and Dinner,Vegetarian,vegetables, flour, flour
141,Veg Manchurian,Lunch and Dinner,Vegetarian,vegetables, corn flour, sauce
142,Crispy Corn,Lunch and Dinner,Vegetarian,corn, corn flour, spices
143,Baby Corn,Lunch and Dinner,Vegetarian,corn, corn flour, sauce
144,Gobi Manchurian,Lunch and Dinner,Vegetarian,corn flour, vegetables, sauce
145,Chilli Mushroom,Lunch and Dinner,Vegetarian,mushroom, corn flour, sauce
146,Chilli Paneer,Lunch and Dinner,Vegetarian,paneer, corn flour, sauce
147,Paneer 65,Lunch and Dinner,Vegetarian,paneer, rice flour, spices
148,Chicken Tandoori,Lunch and Dinner,Non-Vegeterian,chicken, spices, lemon
149,Chicken Seekh Kabab,Lunch and Dinner,Non-Vegeterian,chicken, yogurt, spices
150,Chicken Tikka Dry,Lunch and Dinner,Non-Vegeterian,chicken, yogurt, spices
151,Chicken Achari,Lunch and Dinner,Non-Vegeterian,chicken, yogurt, spices
152,Chicken Malai,Lunch and Dinner,Non-Vegeterian,chicken, yogurt, spices
153,Chicken Pakora,Lunch and Dinner,Non-Vegeterian,chicken, rice flour, spices
154,Chicken Roast,Lunch and Dinner,Non-Vegeterian,chicken, spices, lemon
155,Pepper Garlic Chicken,Lunch and Dinner,Non-Vegeterian,chicken, spices, vegetables 
156,Lemon Chicken,Lunch and Dinner,Non-Vegeterian,chicken, lemon, spices
157,Cashew Chicken,Lunch and Dinner,Non-Vegeterian,chicken, cashew, sauce
